,feature,importance_gain,importance_split,trn_score,run
6,day,490972.7872123718,752,9.42013540299913,54
7,week,185027.65636444092,304,9.42013540299913,54
8,hour,366528.22256851196,580,9.42013540299913,54
9,year,0.0,0,9.42013540299913,54
0,event,249732.6988067627,403,9.417913481557942,55
1,AMOUNT_REQ,602688.3807449341,935,9.417913481557942,55
2,resource,517748.37130355835,764,9.417913481557942,55
3,duration,617863.5459289551,903,9.417913481557942,55
4,allDuration,742998.1186332703,1106,9.417913481557942,55
5,month,176945.73481750488,289,9.417913481557942,55
6,day,480558.2683029175,738,9.417913481557942,55
7,week,196537.14741897583,322,9.417913481557942,55
8,hour,336657.0340156555,540,9.417913481557942,55
9,year,0.0,0,9.417913481557942,55
0,event,276344.9021034241,406,9.411490876934455,56
1,AMOUNT_REQ,612498.5950622559,909,9.411490876934455,56
2,resource,478498.6915206909,688,9.411490876934455,56
3,duration,635257.1373977661,862,9.411490876934455,56
4,allDuration,808725.2588043213,1148,9.411490876934455,56
5,month,189872.0178451538,288,9.411490876934455,56
6,day,456986.18983078003,687,9.411490876934455,56
7,week,241129.11543655396,350,9.411490876934455,56
8,hour,433782.0486679077,662,9.411490876934455,56
9,year,0.0,0,9.411490876934455,56
0,event,237426.28595733643,378,9.416046082752523,57
1,AMOUNT_REQ,598622.3089523315,916,9.416046082752523,57
2,resource,465690.49377822876,715,9.416046082752523,57
3,duration,633951.5285720825,919,9.416046082752523,57
4,allDuration,761279.8912506104,1113,9.416046082752523,57
5,month,205968.7156829834,302,9.416046082752523,57
6,day,465250.0770149231,710,9.416046082752523,57
7,week,214262.60581970215,325,9.416046082752523,57
8,hour,444684.1050338745,622,9.416046082752523,57
9,year,0.0,0,9.416046082752523,57
0,event,284550.341835022,430,9.414277034598786,58
1,AMOUNT_REQ,582194.0097846985,911,9.414277034598786,58
2,resource,504021.8750114441,722,9.414277034598786,58
3,duration,614912.9418144226,910,9.414277034598786,58
4,allDuration,811984.4990692139,1178,9.414277034598786,58
5,month,228783.6061553955,329,9.414277034598786,58
6,day,434563.0536804199,640,9.414277034598786,58
7,week,189340.00590515137,301,9.414277034598786,58
8,hour,381182.54219818115,579,9.414277034598786,58
9,year,0.0,0,9.414277034598786,58
0,event,289004.0230407715,435,9.416819988093957,59
1,AMOUNT_REQ,555535.0155849457,862,9.416819988093957,59
2,resource,494659.2422065735,721,9.416819988093957,59
3,duration,596843.0232887268,921,9.416819988093957,59
4,allDuration,776013.5931663513,1121,9.416819988093957,59
5,month,247430.5552597046,355,9.416819988093957,59
6,day,512600.6246948242,756,9.416819988093957,59
7,week,193536.53747558594,320,9.416819988093957,59
8,hour,312525.67908477783,509,9.416819988093957,59
9,year,0.0,0,9.416819988093957,59
0,event,248185.5920562744,386,9.42169757999896,60
1,AMOUNT_REQ,615983.2258911133,968,9.42169757999896,60
2,resource,476790.20428466797,724,9.42169757999896,60
3,duration,608187.0008583069,916,9.42169757999896,60
4,allDuration,709540.5075874329,1089,9.42169757999896,60
5,month,188074.837600708,301,9.42169757999896,60
6,day,420913.71004867554,676,9.42169757999896,60
7,week,221376.14533996582,344,9.42169757999896,60
8,hour,375479.78089523315,596,9.42169757999896,60
9,year,0.0,0,9.42169757999896,60
0,event,259366.23091888428,403,9.41927039465633,61
1,AMOUNT_REQ,589614.4433631897,902,9.41927039465633,61
2,resource,440479.079826355,671,9.41927039465633,61
3,duration,599672.0316772461,872,9.41927039465633,61
4,allDuration,793746.1836013794,1150,9.41927039465633,61
5,month,202012.57872390747,321,9.41927039465633,61
6,day,506066.7205886841,754,9.41927039465633,61
7,week,207454.58725738525,314,9.41927039465633,61
8,hour,384193.21143341064,613,9.41927039465633,61
9,year,0.0,0,9.41927039465633,61
0,event,270782.9817276001,417,9.416695940568461,62
1,AMOUNT_REQ,569406.8468971252,887,9.416695940568461,62
